pmid,sentence,masked_sentence,abbr,FS
9888388,Five intragenic dimorphisms are now well characterized and the high degree of allelic heterogeneity in HC is demonstrated with seven new different mutations making a total of nineteen CPO gene defects reported so far..,Five intragenic dimorphisms are now well characterized and the high degree of allelic heterogeneity in HC is demonstrated with seven new different mutations making a total of nineteen CPO gene defects reported so far..,HC,hereditary coproporphyria
9585611,"Germ-line mutations of the tumor suppressor APC are implicated in attenuated adenomatous polyposis coli (AAPC), a variant of familial adenomatous polyposis (FAP).","Germ-line mutations of the tumor suppressor APC are implicated in  AAPC, a variant of familial adenomatous polyposis (FAP).",AAPC,attenuated adenomatous polyposis coli
9585611,The aim of this study was to assess genotype-phenotype correlations in AAPC families.,The aim of this study was to assess genotype-phenotype correlations in AAPC families.,AAPC,attenuated adenomatous polyposis coli
9585611,"By protein-truncation test (PTT) assay, the entire coding region of the APC gene was screened in affected individuals from 11 AAPC kindreds, and their phenotypic differences were examined.","By protein-truncation test (PTT) assay, the entire coding region of the APC gene was screened in affected individuals from 11 AAPC kindreds, and their phenotypic differences were examined.",AAPC,attenuated adenomatous polyposis coli
9585611,"In all AAPC kindreds, a predominance of right-sided colorectal adenomas and rectal polyp sparing was observed.","In all AAPC kindreds, a predominance of right-sided colorectal adenomas and rectal polyp sparing was observed.",AAPC,attenuated adenomatous polyposis coli
9585611,"Our data suggest that, in AAPC families, the location of the APC mutation may partially predict specific phenotypic expression.","Our data suggest that, in AAPC families, the location of the APC mutation may partially predict specific phenotypic expression.",AAPC,attenuated adenomatous polyposis coli
9585611,"Germ-line mutations of the tumor suppressor APC are implicated in attenuated adenomatous polyposis coli (AAPC), a variant of familial adenomatous polyposis (FAP).","Germ-line mutations of the tumor suppressor APC are implicated in attenuated adenomatous polyposis coli (AAPC), a variant of  FAP.",FAP,familial adenomatous polyposis
9585611,This should help in the design of tailored clinical-management protocols in this subset of FAP patients..,This should help in the design of tailored clinical-management protocols in this subset of FAP patients..,FAP,familial adenomatous polyposis
9724771,Classical familial adenomatous polyposis (FAP) is a high-penetrance autosomal dominant disease that predisposes to hundreds or thousands of colorectal adenomas and carcinoma and that results from truncating mutations in the APC gene.,Classical  FAP is a high-penetrance autosomal dominant disease that predisposes to hundreds or thousands of colorectal adenomas and carcinoma and that results from truncating mutations in the APC gene.,FAP,familial adenomatous polyposis
9724771,"A variant of FAP is attenuated adenomatous polyposis coli, which results from germ-line mutations in the 5 and 3 regions of the APC gene.","A variant of FAP is attenuated adenomatous polyposis coli, which results from germ-line mutations in the 5 and 3 regions of the APC gene.",FAP,familial adenomatous polyposis
9689113,von Willebrand factor (vWf) deficiency causes severe von Willebrand disease in humans., vWf deficiency causes severe von Willebrand disease in humans.,vWf,von willebrand factor
9689113,"Neither vWf nor vWf propolypeptide (von Willebrand antigen II) were detectable in plasma, platelets, or endothelial cells of the homozygous mutant mice.","Neither vWf nor vWf propolypeptide (von Willebrand antigen II) were detectable in plasma, platelets, or endothelial cells of the homozygous mutant mice.",vWf,von willebrand factor
9689113,We conclude that these mice very closely mimic severe human von Willebrand disease and will be very useful for investigating the role of vWf in normal physiology and in disease models..,We conclude that these mice very closely mimic severe human von Willebrand disease and will be very useful for investigating the role of vWf in normal physiology and in disease models..,vWf,von willebrand factor
9448273,The inactivation of the von Hippel-Lindau (VHL) tumor suppressor gene predisposes affected individuals to the human VHL cancer syndrome and is associated with sporadic renal cell carcinomas (RCC) and brain hemangioblastomas.,The inactivation of the  VHL tumor suppressor gene predisposes affected individuals to the human VHL cancer syndrome and is associated with sporadic renal cell carcinomas (RCC) and brain hemangioblastomas.,VHL,von hippel-lindau
9448273,"Here, it is shown that reintroduction of the wild-type VHL gene restores the ability of VHL-negative RCC cancer cells to exit the cell cycle and enter G0/quiescence in low serum.","Here, it is shown that reintroduction of the wild-type VHL gene restores the ability of VHL-negative RCC cancer cells to exit the cell cycle and enter G0/quiescence in low serum.",VHL,von hippel-lindau
9448273,"We propose that the loss of wild-type VHL gene results in a specific cellular defect in serum-dependent growth control, which may initiate tumor formation.","We propose that the loss of wild-type VHL gene results in a specific cellular defect in serum-dependent growth control, which may initiate tumor formation.",VHL,von hippel-lindau
9448273,"This is corrected by the reintroduction of wild-type VHL, implicating VHL as the first tumor suppressor involved in the regulation of cell cycle exit, which is consistent with its gatekeeper function in the kidney..","This is corrected by the reintroduction of wild-type VHL, implicating VHL as the first tumor suppressor involved in the regulation of cell cycle exit, which is consistent with its gatekeeper function in the kidney..",VHL,von hippel-lindau
9848786,Five of the cases were observed in children presenting with idiopathic hemolytic uremic syndrome (HUS).,Five of the cases were observed in children presenting with idiopathic  HUS.,HUS,hemolytic uremic syndrome
9521325,"In approximately 5-12% of these cases, there are no demonstrable cardiac or non-cardiac causes to account for the episode, which is therefore classified as idiopathic ventricular fibrillation (IVF).","In approximately 5-12% of these cases, there are no demonstrable cardiac or non-cardiac causes to account for the episode, which is therefore classified as  IVF.",IVF,idiopathic ventricular fibrillation
9521325,A distinct group of IVF patients has been found to present with a characteristic electrocardiographic pattern.,A distinct group of IVF patients has been found to present with a characteristic electrocardiographic pattern.,IVF,idiopathic ventricular fibrillation
9521325,"Because of the small size of most pedigrees and the high incidence of sudden death, however, molecular genetic studies of IVF have not yet been done.","Because of the small size of most pedigrees and the high incidence of sudden death, however, molecular genetic studies of IVF have not yet been done.",IVF,idiopathic ventricular fibrillation
9521325,"Because IVF causes cardiac rhythm disturbance, we investigated whether malfunction of ion channels could cause the disorder by studying mutations in the cardiac sodium channel gene SCN5A.","Because IVF causes cardiac rhythm disturbance, we investigated whether malfunction of ion channels could cause the disorder by studying mutations in the cardiac sodium channel gene SCN5A.",IVF,idiopathic ventricular fibrillation
9521325,"We have now identified a missense mutation, a splice-donor mutation, and a frameshift mutation in the coding region of SCN5A in three IVF families.","We have now identified a missense mutation, a splice-donor mutation, and a frameshift mutation in the coding region of SCN5A in three IVF families.",IVF,idiopathic ventricular fibrillation
9336417,OBJECTIVE  To determine the relative effects of genetic and environmental factors in susceptibility to ankylosing spondylitis (AS).,OBJECTIVE  To determine the relative effects of genetic and environmental factors in susceptibility to  AS.,AS,ankylosing spondylitis
9336417,METHODS  Twins with AS were identified from the Royal National Hospital for Rheumatic Diseases database.,METHODS  Twins with AS were identified from the Royal National Hospital for Rheumatic Diseases database.,AS,ankylosing spondylitis
9336417,"CONCLUSION  Susceptibility to AS is largely genetically determined, and the environmental trigger for the disease is probably ubiquitous.","CONCLUSION  Susceptibility to AS is largely genetically determined, and the environmental trigger for the disease is probably ubiquitous.",AS,ankylosing spondylitis
9731533,"Mutations in APC are classically associated with familial adenomatous polyposis (FAP), a highly penetrant autosomal dominant disorder characterized by multiple intestinal polyps and, without surgical intervention, the development of colorectal cancer (CRC).","Mutations in APC are classically associated with  FAP, a highly penetrant autosomal dominant disorder characterized by multiple intestinal polyps and, without surgical intervention, the development of colorectal cancer (CRC).",FAP,familial adenomatous polyposis
9731533,"Mutations in APC are classically associated with familial adenomatous polyposis (FAP), a highly penetrant autosomal dominant disorder characterized by multiple intestinal polyps and, without surgical intervention, the development of colorectal cancer (CRC).","Mutations in APC are classically associated with familial adenomatous polyposis (FAP), a highly penetrant autosomal dominant disorder characterized by multiple intestinal polyps and, without surgical intervention, the development of  CRC.",CRC,colorectal cancer
9731533,1% of unselected Ashkenazi Jews and higher proportions of Ashkenazim with family or personal histories of CRC (ref.,1% of unselected Ashkenazi Jews and higher proportions of Ashkenazim with family or personal histories of CRC (ref.,CRC,colorectal cancer
9425239,The genetic basis of myotonic dystrophy (DM) is the expansion of an unstable CTG repeat in the 34 UTR of the DM protein kinase gene on chromosome 19.,The genetic basis of  DM is the expansion of an unstable CTG repeat in the 34 UTR of the DM protein kinase gene on chromosome 19.,DM,myotonic dystrophy
9425239,"One of the principal features of the DM mutation is an extraordinarily high level of somatic mosaicism, due to an extremely high degree of somatic instability both within and between different tissues.","One of the principal features of the DM mutation is an extraordinarily high level of somatic mosaicism, due to an extremely high degree of somatic instability both within and between different tissues.",DM,myotonic dystrophy
9425239,"In order to further characterize the dynamics of DM CTG repeat somatic instability, we have studied repeat length changes over time in 111 myotonic dystrophy patients with varying clinical severity and CTG repeat size over time intervals of 1-7 years.","In order to further characterize the dynamics of DM CTG repeat somatic instability, we have studied repeat length changes over time in 111  patients with varying clinical severity and CTG repeat size over time intervals of 1-7 years.",DM,myotonic dystrophy
9800909,Molecular study and neuropsychological analysis were performed concurrently on 49 patients with Duchenne muscular dystrophy (DMD) in order to find a molecular explanation for the cognitive impairment observed in most DMD patients.,Molecular study and neuropsychological analysis were performed concurrently on 49 patients with  DMD in order to find a molecular explanation for the cognitive impairment observed in most DMD patients.,DMD,duchenne muscular dystrophy
9800909,Complete analysis of the dystrophin gene was performed to define the localization of deletions and duplications in relation to the different DMD promoters.,Complete analysis of the dystrophin gene was performed to define the localization of deletions and duplications in relation to the different DMD promoters.,DMD,duchenne muscular dystrophy
9800909,"These findings suggest that some sequences located in the distal part of the gene and, in particular, some DMD isoforms expressed in the brain may be related to the cognitive impairment associated with DMD..","These findings suggest that some sequences located in the distal part of the gene and, in particular, some DMD isoforms expressed in the brain may be related to the cognitive impairment associated with DMD..",DMD,duchenne muscular dystrophy
9439660,"In ataxia-telangiectasia (A-T) patients, mutations in a single gene, ATM, result in an autosomal recessive syndrome that embraces a variety of clinical features and manifests extreme radiosensitivity and a strong pre-disposition to malignancy.","In  A-T patients, mutations in a single gene, ATM, result in an autosomal recessive syndrome that embraces a variety of clinical features and manifests extreme radiosensitivity and a strong pre-disposition to malignancy.",A-T,ataxia-telangiectasia
9439660,Heterozygotes for the ATM gene have no clinical expression of A-T but may be cancer prone with a moderate increase in in vitro radiosensitivity.,Heterozygotes for the ATM gene have no clinical expression of A-T but may be cancer prone with a moderate increase in in vitro radiosensitivity.,A-T,ataxia-telangiectasia
9439660,"We performed a blind chromosomal analysis on G2-phase lymphocytes from 7 unrelated A-T patients, 13 obligate A-T heterozygotes (parents of the patients), and 14 normal controls following X-irradiation with 1 Gy in order to evaluate this cytogenetic method as a tool for detection of ATM carriers.","We performed a blind chromosomal analysis on G2-phase lymphocytes from 7 unrelated A-T patients, 13 obligate A-T heterozygotes (parents of the patients), and 14 normal controls following X-irradiation with 1 Gy in order to evaluate this cytogenetic method as a tool for detection of ATM carriers.",A-T,ataxia-telangiectasia
9439660,Both A-T homozygotes and heterozygotes showed significantly increased levels of radiation-induced chromatid damage relative to that of normal controls.,Both A-T homozygotes and heterozygotes showed significantly increased levels of radiation-induced chromatid damage relative to that of normal controls.,A-T,ataxia-telangiectasia
9439660,These results show that the G2-phase chromosomal radiosensitivity assay can be used for the detection of A-T heterozygotes.,These results show that the G2-phase chromosomal radiosensitivity assay can be used for the detection of A-T heterozygotes.,A-T,ataxia-telangiectasia
9744473,Deficiency of arylsulfatase A (ARSA) enzyme activity causes metachromatic leukodystrophy (MLD).,Deficiency of arylsulfatase A (ARSA) enzyme activity causes  MLD.,MLD,metachromatic leukodystrophy
9744473,A number of ARSA gene mutations responsible for MLD have been identified.,A number of ARSA gene mutations responsible for MLD have been identified.,MLD,metachromatic leukodystrophy
9744473,"Recently, the R496H mutation of ARSA was proposed to be a cause of MLD (Draghia et al., 1997).","Recently, the R496H mutation of ARSA was proposed to be a cause of MLD (Draghia et al., 1997).",MLD,metachromatic leukodystrophy
9888390,"In a family with three siblings, one developed classical late infantile metachromatic leukodystrophy (MLD), fatal at age 5 years, with deficient arylsulfatase A (ARSA) activity and increased galactosylsulfatide (GS) excretion.","In a family with three siblings, one developed classical late infantile  MLD, fatal at age 5 years, with deficient arylsulfatase A (ARSA) activity and increased galactosylsulfatide (GS) excretion.",MLD,metachromatic leukodystrophy
9888390,"The two other siblings, apparently healthy at 12 (1/2) and 15 years, respectively, and their father, apparently healthy as well, presented ARSA and GS values within the range of MLD patients.","The two other siblings, apparently healthy at 12 (1/2) and 15 years, respectively, and their father, apparently healthy as well, presented ARSA and GS values within the range of MLD patients.",MLD,metachromatic leukodystrophy
9888390,Mutation A464V was not found in 18 unrelated MLD patients and 50 controls.,Mutation A464V was not found in 18 unrelated MLD patients and 50 controls.,MLD,metachromatic leukodystrophy
941901,Appreciable beta hexosaminidase A (hex A) activity has been detected in cultured skin fibroblasts and melanoma tissue from healthy individuals previously reported as having deficiency of hex A activity indistinguishable from that of patients with Tay-Sachs disease (TSD).,Appreciable beta hexosaminidase A (hex A) activity has been detected in cultured skin fibroblasts and melanoma tissue from healthy individuals previously reported as having deficiency of hex A activity indistinguishable from that of patients with  TSD.,TSD,tay-sachs disease
941901,Previous family studies suggested that these individuals may be compound heterozygotes for the common mutant TSD gene and a rare (allelic) mutant gene.,Previous family studies suggested that these individuals may be compound heterozygotes for the common mutant TSD gene and a rare (allelic) mutant gene.,TSD,tay-sachs disease
941901,"Thus, the postulated rate mutant gene appears to code for the expression of low amounts of hex A. Heterozygotes for the rare mutant may be indistinguishable from heterozygotes for the common TSD mutant.","Thus, the postulated rate mutant gene appears to code for the expression of low amounts of hex A. Heterozygotes for the rare mutant may be indistinguishable from heterozygotes for the common TSD mutant.",TSD,tay-sachs disease
941901,"However, direct visualization and quantitation of hex A by the methods described may prevent false-positive prenatal diagnosis of TSD in fetuses having the incomplete hex A deficiency of the type described in the four healthy individuals","However, direct visualization and quantitation of hex A by the methods described may prevent false-positive prenatal diagnosis of TSD in fetuses having the incomplete hex A deficiency of the type described in the four healthy individuals",TSD,tay-sachs disease
9590284,Deletion of this IC abolishes local paternally derived gene expression and results in Prader-Willi syndrome (PWS).,Deletion of this IC abolishes local paternally derived gene expression and results in  PWS.,PWS,prader-willi syndrome
9590284,We have created two deletion mutations in mice to understand PWS and the mechanism of this IC.,We have created two deletion mutations in mice to understand PWS and the mechanism of this IC.,PWS,prader-willi syndrome
9590284,"Mice with a larger deletion involving both Snrpn and the putative PWS-IC lack expression of the imprinted genes Zfp127 (mouse homologue of ZNF127), Ndn and Ipw, and manifest several phenotypes common to PWS infants.","Mice with a larger deletion involving both Snrpn and the putative PWS-IC lack expression of the imprinted genes Zfp127 (mouse homologue of ZNF127), Ndn and Ipw, and manifest several phenotypes common to PWS infants.",PWS,prader-willi syndrome
9843038,Hereditary coproporphyria (HCP) is an autosomal dominant disease characterized by a deficiency of coproporphyrinogen oxidase (CPO) caused by a mutation in the CPO gene., HCP is an autosomal dominant disease characterized by a deficiency of coproporphyrinogen oxidase (CPO) caused by a mutation in the CPO gene.,HCP,hereditary coproporphyria
9843038,Only 11 mutations of the gene have been reported in HCP patients.,Only 11 mutations of the gene have been reported in HCP patients.,HCP,hereditary coproporphyria
9529364,"Constitutional mutations of the WT1 gene, encoding a zinc-finger transcription factor involved in renal and gonadal development, are found in most patients with Denys-Drash syndrome (DDS), or diffuse mesangial sclerosis (DMS) associated with pseudohermaphroditism and/or Wilms tumor (WT).","Constitutional mutations of the WT1 gene, encoding a zinc-finger transcription factor involved in renal and gonadal development, are found in most patients with  DDS, or diffuse mesangial sclerosis (DMS) associated with pseudohermaphroditism and/or Wilms tumor (WT).",DDS,denys-drash syndrome
9529364,"Most mutations in DDS patients lie in exon 8 or exon 9, encoding zinc finger 2 or zinc finger 3, respectively, with a hot spot (R394W) in exon 9.","Most mutations in DDS patients lie in exon 8 or exon 9, encoding zinc finger 2 or zinc finger 3, respectively, with a hot spot (R394W) in exon 9.",DDS,denys-drash syndrome
9529364,Two mutations associated with IDMS are different from those described in DDS patients.,Two mutations associated with IDMS are different from those described in DDS patients.,DDS,denys-drash syndrome
9529364,"Constitutional mutations of the WT1 gene, encoding a zinc-finger transcription factor involved in renal and gonadal development, are found in most patients with Denys-Drash syndrome (DDS), or diffuse mesangial sclerosis (DMS) associated with pseudohermaphroditism and/or Wilms tumor (WT).","Constitutional mutations of the WT1 gene, encoding a zinc-finger transcription factor involved in renal and gonadal development, are found in most patients with Denys-Drash syndrome (DDS), or  DMS associated with pseudohermaphroditism and/or Wilms tumor (WT).",DMS,diffuse mesangial sclerosis
9529364,"We analyzed a series of 24 patients, 10 with isolated DMS (IDMS), 10 with DDS, and 4 with urogenital abnormalities and/or WT.","We analyzed a series of 24 patients, 10 with isolated DMS (IDMS), 10 with DDS, and 4 with urogenital abnormalities and/or WT.",DMS,diffuse mesangial sclerosis
9529364,"Constitutional mutations of the WT1 gene, encoding a zinc-finger transcription factor involved in renal and gonadal development, are found in most patients with Denys-Drash syndrome (DDS), or diffuse mesangial sclerosis (DMS) associated with pseudohermaphroditism and/or Wilms tumor (WT).","Constitutional mutations of the WT1 gene, encoding a zinc-finger transcription factor involved in renal and gonadal development, are found in most patients with Denys-Drash syndrome (DDS), or diffuse mesangial sclerosis (DMS) associated with pseudohermaphroditism and/or  WT.",WT,wilms tumor
9529364,One male and two female IDMS patients with WT1 mutations underwent normal puberty.,One male and two female IDMS patients with WT1 mutations underwent normal puberty.,IDMS,isolated diffuse mesangial sclerosis
9529364,Two mutations associated with IDMS are different from those described in DDS patients.,Two mutations associated with IDMS are different from those described in DDS patients.,IDMS,isolated diffuse mesangial sclerosis
9529364,"No WT1 mutations were detected in the six other IDMS patients, suggesting genetic heterogeneity of this disease.","No WT1 mutations were detected in the six other IDMS patients, suggesting genetic heterogeneity of this disease.",IDMS,isolated diffuse mesangial sclerosis
9391889,We report a rare case of paternally transmitted congenital myotonic dystrophy (DM).,We report a rare case of paternally transmitted congenital  DM.,DM,myotonic dystrophy
9391889,Only six other cases of paternal transmission of congenital DM have been reported recently.,Only six other cases of paternal transmission of congenital DM have been reported recently.,DM,myotonic dystrophy
9391889,Decreased fertility of males with adult onset DM and contraction of the repeat upon male transmission contribute to the almost absent occurrence of paternal transmission of congenital DM.,Decreased fertility of males with adult onset DM and contraction of the repeat upon male transmission contribute to the almost absent occurrence of paternal transmission of congenital DM.,DM,myotonic dystrophy
9391889,We conclude that paternal transmission of congenital DM is rare and preferentially occurs with onset of DM past 30 years in the father..,We conclude that paternal transmission of congenital DM is rare and preferentially occurs with onset of DM past 30 years in the father..,DM,myotonic dystrophy
